nombre,fabricante,calorias,proteina,grasa,sodio,fibra dietaria,carbohidratos,azúcar,potasio,vitaminas y minerales
Shredded_Wheat,Nabisco,80,2,0,0,3.0,16.0,0,95,0
Shredded_Wheat_'n'Bran,Nabisco,90,3,0,0,4.0,19.0,0,140,0
Shredded_Wheat_spoon_size,Nabisco,90,3,0,0,3.0,20.0,0,120,0
Smacks,Kelloggs,110,2,1,70,1.0,9.0,15,40,25
Special_K,Kelloggs,110,6,0,230,1.0,16.0,3,55,25
Strawberry_Fruit_Wheats,Nabisco,90,2,0,15,3.0,15.0,5,90,25
Total_Corn_Flakes,General Mills,110,2,1,200,0.0,21.0,3,35,100
Total_Raisin_Bran,General Mills,140,3,1,190,4.0,15.0,14,230,100
Total_Whole_Grain,General Mills,100,3,1,200,3.0,16.0,3,110,100
Triples,General Mills,110,2,1,250,0.0,21.0,3,60,25
Trix,General Mills,110,1,1,140,0.0,13.0,12,25,25
Wheat_Chex,Ralston Purina,100,3,1,230,3.0,17.0,3,115,25
Wheaties,General Mills,100,3,1,200,3.0,17.0,3,110,25
Wheaties_Honey_Gold,General Mills,110,2,1,200,1.0,16.0,8,60,25
